scen_id,outlook,demand,carbon_tax_2030,annual_change_carbon_tax_2030,carbon_offset_limit,reserve_margin,carbon_offset_price,annual_change_fuel_price_hydrogen_import,fuel_price_import_from_laos,fuel_price_import_from_vietnam,fuel_price_import_from_indonesia,fuel_price_import_from_australia,fuel_price_import_from_cambodia,fuel_price_import_from_malaysia
s1,diversified,0.028,57.5369432,0.044140117,0.095901775,0.236595457,28.30291323,-0.032643621,54.23423786,115.2835217,97.76734298,121.0010061,147.3374415,121.9688196
s2,diversified,0.028,48.47290937,0.016423975,0.093567785,0.294349112,13.98988679,-0.006489651,61.51999403,65.86034528,83.21341206,113.5668188,108.6840493,133.0651566
s3,diversified,0.028,47.90362388,0.04470887,0.063112444,0.219741889,17.98815185,-0.03194147,44.04362074,98.08529962,86.54537915,89.54952186,132.4186136,94.89631173
s4,diversified,0.028,53.72148723,0.041669857,0.086643959,0.24673829,25.26496654,-0.006718745,45.98739583,104.760574,127.7620172,143.798556,130.7636438,101.5510688
s5,diversified,0.028,49.02266302,0.012740711,0.094865899,0.304372774,38.2473204,-0.019602635,51.23654414,70.13577664,110.8496293,93.76290587,157.9094883,91.28736326
s6,diversified,0.028,57.70587975,0.006397068,0.070316056,0.273232173,15.03064956,-0.030403375,46.28633271,108.3134821,122.478025,133.9299693,112.6459759,132.845227
s7,diversified,0.028,59.08885136,0.006008667,0.058142394,0.218730613,32.96999003,-0.014121668,67.18414617,110.3496811,100.4863496,147.6779924,144.5328446,80.60443661
s8,diversified,0.028,49.93301586,0.001167747,0.051769064,0.314910582,18.1451821,-0.044813438,47.6256523,91.2728562,85.45419037,103.4111067,143.08784,111.1688193
s9,diversified,0.028,46.69888434,0.020485252,0.075463756,0.260023248,13.11561843,-0.047140905,37.25173267,96.51080621,120.0061869,133.5022994,115.3135623,80.20250118
s10,diversified,0.028,57.20222501,0.003497962,0.075795897,0.313708994,14.73106221,-0.011277826,57.53571734,66.05022769,90.44112605,112.5928806,170.3866266,88.15460012
s11,diversified,0.028,53.00125189,0.02957139,0.077043847,0.285793882,26.40457692,-0.004454492,66.96617462,81.04416892,113.6661735,154.483605,142.8491878,81.53018909
s12,diversified,0.028,40.0990123,0.018056796,0.059466324,0.26252927,25.91591005,-0.035171889,58.04692967,88.41954882,77.51929315,145.9509925,110.5135231,127.2304401
s13,diversified,0.028,57.59441072,0.042690687,0.063254561,0.29707548,24.17314971,-0.01612456,41.031371,110.6210513,117.5550571,110.5258475,115.583802,93.45789998
s14,diversified,0.028,38.10738234,0.038790342,0.08545993,0.242309114,23.18527153,-0.040614424,44.14955822,103.5245417,86.60637523,117.6843962,167.7551647,111.7301656
s15,diversified,0.028,54.87903249,0.020345406,0.079108864,0.271476683,22.10586645,-0.0097791,55.16379201,114.8678689,108.2499746,153.2078663,175.6319818,84.08972136
s16,diversified,0.028,58.08515204,0.03288518,0.050824347,0.289668012,30.13518612,-0.039049807,47.70401417,96.67697063,88.38514784,109.9153002,127.2845649,138.1808831
s17,diversified,0.028,56.86972931,0.00952294,0.052957065,0.27305712,13.56893933,-0.03544343,42.63474834,76.80913448,73.48929681,125.9157794,140.2174176,112.4487548
s18,diversified,0.028,48.53167091,0.025354081,0.055628016,0.251287836,23.19843915,-0.006939926,42.28601495,86.64999385,77.19958285,124.1299992,133.7034052,78.13518296
